Cycle,a,b,c,d,e,f,g,h
109,1620.3942499048571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1620.4068470126808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,1620.4194438408517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1620.4320403893762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,1620.4446366582604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,1620.4572326475106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1620.4698283571329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,1620.4824237871335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,1620.4950189375188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,1620.5076138082948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1620.5202083994677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,1620.5328027110438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,1620.5453967430294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,1620.5579904954307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,1620.5705839682537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,1620.5831771615046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,1620.5957700751899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1620.6083627093155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,1620.6209550638878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1620.6335471389127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,1620.6461389343967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,1620.658730450346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,1620.6713216867668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,1620.6839126436653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,1620.6965033210477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,1620.70909371892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,1620.7216838372885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,1620.7342736761595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,1620.7468632355394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,1620.759452515434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,1620.7720415158499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,1620.784630236793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1620.7972186782695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,1620.8098068402858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1620.822394722848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,1620.8349823259623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,1620.8475696496348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,1620.8601566938719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1620.8727434586797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,1620.8853299440643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,1620.8979161500322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1620.9105020765894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,1620.9230877237421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,1620.9356730914965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,1620.9482581798588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,1620.9608429888353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,1604.9733027198174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,1604.9857621741967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1604.998221351979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,1605.0106802531707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,1605.023138877778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,1605.0355972258067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,1605.048055297263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,1605.0605130921535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,1605.072970610484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,1605.0854278522604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,1605.0978848174893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,1605.1103415061766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,1605.1227979183284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,1605.135254053951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,1605.1477099130504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
