Cycle,a,b,c,d,e,f,g,h
44,9825.018706254212,47.9271334090253,32.19283412909956,0.5867686667319818,0.00212058382998668,0.0636175148996004,2.4737406946434746,0.7147511573309597
45,9824.347188471202,47.88359117264188,32.86582780542083,0.612763425355739,0.00216700524019803,0.06501015720594086,2.543769169631795,0.7346361464494243
46,9823.676718514578,47.84020652930948,33.536362489074605,0.6392785316489302,0.00221335108024502,0.06640053240735068,2.614379543329703,0.7546748148767243
47,9823.007292755008,47.796979374017006,34.20444701926481,0.6663113542151888,0.00225962155990534,0.06778864679716018,2.6855698364102785,0.7748666557720902
48,9822.338907571435,47.753909600762434,34.87009020819547,0.6938592720218851,0.00230581688870603,0.06917450666118082,2.757338076999297,0.7952111641866612
49,9821.671559351107,47.71099710256748,35.533300841136274,0.721919674365703,0.0023519372759227,0.0705581182776809,2.8296823006451097,0.8157078370558205
50,9821.005244489541,47.66824177149223,36.194087676488145,0.7504899608383112,0.00239798293057872,0.07193948791736168,2.9026005502886423,0.8363561731915625
51,9820.339959390525,47.625643498649595,36.852459445848865,0.779567541292129,0.00244395406144447,0.07331862184333408,2.976090876233512,0.8571556732748886
52,9819.67570046611,47.58320217421979,37.5084248540787,0.8091498358061865,0.00248985087703652,0.07469552631109565,3.0501513361162638,0.8781058398482339
53,9724.018858462148,47.54056079637474,38.15522116389556,0.839231494829586,0.00253567340721546,0.07607020221646375,3.124776666467532,0.8992052874475249
54,9723.363031190069,47.49807610773562,38.79964678042382,0.8698071934091613,0.00258142168172733,0.07744265045181986,3.1999616221005174,0.9204526352932297
55,9722.708215113655,47.45574799176081,39.44171026339625,0.9008744036990572,0.00262709590853092,0.07881287725592769,3.2757042989433596,0.9418473957131466
56,9722.054406704914,47.4135763310454,40.081420146206334,0.9324306078652548,0.0026726962953242,0.08018088885972595,3.3520028000820647,0.9633890828518265
57,9721.401602444075,47.371561007334954,40.71878493597405,0.9644732980521075,0.0027182230495436,0.08154669148630812,3.428855235731504,0.985077212663195
58,9720.749798819568,47.32970190153923,41.35381311361173,0.9969999763489711,0.00276367637836342,0.08291029135090255,3.5062597232065253,1.0069113029032044
59,9720.098992328036,47.28799889374575,41.98651313388984,1.0300081547569273,0.0028090564886951,0.08427169466085306,3.584214386893185,1.0288908731225141
60,9719.449179474297,47.24645186323332,42.616893425502845,1.0634953551556008,0.00285436358718666,0.08563090761559994,3.662717358220089,1.0510154446592026
61,9718.80035677136,47.20506068848542,43.24496239113505,1.09745910927007,0.00289959788022205,0.08698793640666139,3.7417667756298574,1.0732845406315066
62,9718.152520740392,47.16382524720355,43.870728407526386,1.1318969586378702,0.00294475957392051,0.0883427872176153,3.821360784550692,1.095697685930591
63,9717.505667910726,47.12274541632041,44.494199825538324,1.1668064545760906,0.00298984887413605,0.08969546622408156,3.901497537368067,1.1182544072133471
64,9716.859794819833,47.081821072013064,45.11538497021965,1.202185158148565,0.00303486598645682,0.09104597959370463,3.982175193396531,1.1409542328952211
65,9716.214898013328,47.04105208971594,45.73429214087233,1.2380306401331538,0.00307981111620455,0.09239433348613663,4.06339191885162,1.1637966931430699
66,9715.570974044955,47.000438344133784,46.35092961111732,1.2743404809891206,0.00312468446843403,0.09374053405302082,4.145145886821886,1.1867813198680475
67,9714.928019476554,46.95997970925451,46.96530562896042,1.3111122708245997,0.00316948624793251,0.09508458743797545,4.227435277241036,1.2099076467185195
68,9714.286030878086,46.91967605836196,47.577428416858055,1.3483436093641583,0.00321421665921926,0.09642649977657791,4.31025827686019,1.2331752090730062
69,9713.645004827598,46.87952726404855,48.18730617178308,1.3860321059164493,0.00325887590654498,0.0977662771963495,4.393613079220239,1.2565835440331545
70,9713.00493791121,46.83953319822787,48.79494706529058,1.4241753793419574,0.00330346419389135,0.0991039258167404,4.4774978846243245,1.280132190416739
71,9712.365826723119,46.79969373214716,49.40035924358365,1.4627710580208373,0.0033479817249705,0.10043945174911506,4.561910900110428,1.3038206887506907
72,9711.727667865574,46.76000873639971,50.00355082757915,1.501816779820844,0.0033924287032246,0.10177286109673804,4.646850339424067,1.327648581264154
73,9711.090457948867,46.720478080937156,50.60452991297343,1.5413101920653545,0.00343680533182534,0.10310415995476013,4.732314422991105,1.3516154118815735
74,9710.454193591326,46.6811016350817,51.20330457030812,1.5812489515014843,0.0034811118136735,0.10443335441020504,4.818301377890674,1.375720726215808
75,9709.818871419297,46.64187926753826,51.79988284503573,1.6216307242682901,0.00352534835139854,0.10576045054195615,4.9048094378282,1.3999640715612711
76,9709.18448806713,46.60281084640647,52.39427275758543,1.6624531858650695,0.00356951514735813,0.10708545442074394,4.991836843108542,1.424344996887103
77,9708.551040177183,46.563896239192694,52.986482303428645,1.7037140211197492,0.00361361240363779,0.10840837210913357,5.079381840609246,1.4488630528303674
78,9707.918524399784,46.52513531282185,53.57651945314471,1.7454109241573657,0.00365764032205043,0.109729209661513,5.167442683753894,1.4735177916892788
79,9707.286937393232,46.486527933649214,54.1643921524865,1.787541598368637,0.00370159910413605,0.11104797312408136,5.256017632485576,1.498308767416455
80,9706.656275823789,46.448073967472105,54.750108322445946,1.830103756378625,0.00374548895116126,0.11236466853483766,5.34510495324046,1.5232355356121994
81,9706.026536365662,46.409773279541504,55.333675859319655,1.8730951200154902,0.003789310064119,0.11367930192356997,5.4347029189214755,1.5482976535178095
82,9705.397715700985,46.37162573457359,55.91510263477438,1.916513420279335,0.00383306264372816,0.11499187931184485,5.524809808872102,1.5734946800089131
83,9704.769810519814,46.33363119676117,56.49439649591251,1.96035639731114,0.00387674689043324,0.1163024067129972,5.615423908850264,1.5988261755888329
84,9704.142817520107,46.29578952978503,57.07156526533754,2.0046218003617895,0.00392036300440401,0.11761089013212041,5.706543511002335,1.6242917023819772
85,9703.51673340772,46.25810059682526,57.646616741219454,2.0493073877611874,0.00396391118553523,0.11891733556605688,5.798166913837244,1.6498908241272583
86,9702.89155489638,46.220564260572374,58.21955869736012,2.094410926887465,0.0040073916334463,0.1202217490033889,5.890292422200695,1.6756231061715385
87,9702.267278707683,46.183180383238486,58.79039888325864,2.139930194136276,0.00405080454748099,0.12152413642442982,5.982918347249483,1.7014881154631019
88,9701.643901571078,46.14594882656831,59.359145024176605,2.1858629748901848,0.00409415012670719,0.12282450380121558,6.07604300642592,1.7274854205451535
89,9701.021420223848,46.108869451850104,59.925804821203414,2.232207063488144,0.00413742856991656,0.12412285709749671,6.169664723432372,1.753614591549348
90,9700.399831411105,46.07194211992656,60.49038595132142,2.278960263195058,0.00418064007562435,0.12541920226873032,6.263781828205885,1.7798752001893394
91,9699.779131885765,46.035166691205575,61.052896067471146,2.32612038617144,0.0042237848420691,0.12671354526207285,6.358392656892932,1.806266819754363
92,9699.159318408545,45.998543025670955,61.61334279861639,2.3736852534431603,0.00426686306721243,0.12800589201637277,6.453495551824253,1.8327890251028407
93,9698.540387747942,45.96207098289305,62.17173374980929,2.421652694871277,0.0043098749487388,0.1292962484621639,6.549088861489801,1.8594413926560143
94,9697.922336680218,45.925750422039314,62.728076502255405,2.4700205491219616,0.00435282068405529,0.1305846205216588,6.645170940513792,1.886223500391604
95,9697.305161989396,45.88958120188476,63.282378613378626,2.5187866636365137,0.00439570047029143,0.13187101410874275,6.7417401496298615,1.9131349278374943
96,9696.68886046723,45.85356318082235,63.834647616886144,2.5679488946014604,0.00443851450429893,0.13315543512896774,6.838794855656314,1.9401752560654457
